"Index","Tokens"
"11","[note, education, conference, shake, attend, thought, year, learning, teaching, recommend, discussion, blog, good, lot, robot, general, security, computer, ongoing, post, yest, write, programming, highly, include, previous, honestly, disruption, work, reink, teach, interesting, curriculum, great, cybersecurity, tool, cyber, traditionally, kick, science, thing, stuff]"
"12","[education, year, discussion, bit, hope, professional, pick, write, hardware, happen, grow, documentation, active, scratch, apparent, intelligence, exist, repl.it, provide, field, guess, reality, math, device, favorite, deal, recommend, teaching, lot, computer, retire, member, learn, change, involve, great, cyber.org, expect, future, machine, progress, thing, codehs, prepared, feel, pandemic, good, barrier, post, create, talk, programming, group, intense, add, development, resource, level, difficult, sort, check, list, tool, lack, unit, support, collect, internet, option, full, virtual, code, boom, capable, training, learning, video, media, k12, security, computing, teacher, today, company, physical, notice, highly, social, teach, interesting, increase, specific, room, expensive, cyber, artificial, material, online, attention, growth, comment, time, age]"
"13","[country, mentor, career, software, year, subject, recommendation, determination, good, advance, cover, compute, amazing, talent, create, bombe, female, write, hardware, group, breaking, revolutionize, read, work, cryptography, plenty, engineering, sort, history, girl, easy, cybersecurity, benefit, respect, insight, system, task, naval, revolutionary, person, science, difference, deal, code, woman, student, advice, idea, book, impossible, enjoy, progression, recommend, effort, expectation, inspiring, life, long, overnight, lot, highlight, society, computer, accomplish, considerable, spark, interest, debugging, hard, harder, early, mistake, break, strike, interesting, black, war, fascinating, label, people, great, integrate, disparate, arguably, conduct, powerful, machine, inspire, time, interested, complete, thing, weave, story]"
"14","[explain, stumble, snippet, play, college, big, fancy, half, year, ring, program, bit, perfictly, modest, number, bat, convinced, write, meeting, case, knowledge, happen, issue, upgrade, edit, work, lose, understand, require, handle, bell, easy, version, analog, wane, tiny, wind, compare, fact, remine, remind, lot, interestingly, computer, secretary, feature, web, variety, era, older, copy, close, question, break, chair, change, draw, suspect, sample, people, nautical, face, site, answer, codebase, complicated, grab, thing, fun, story, asr, coder, couple, minor, project, simple, mini-computer, experience, lab, good, hold, identical, hit, post, earlier, fine, beginner, find, create, thecrazyprogrammer.com, net, credit, day, depreciate, combination, actual, fixing, doubt, plenty, clock, sort, real, success, background, adjustment, job, internet, full, memory, code, hammer, student, paste, error, life, remove, highlight, hour, common, refactoring, busy, department, class, pretty, original, previous, interesting, codeproject, start, control, terminal, posting, improvement, application, comment, time]"
"15","[couple, select, perfect, bad, software, release, taste, project, program, discussion, bit, experience, hope, good, professional, imperfect, problem, helper, find, basically, neat, state, write, programming, solver, prime, bakery, method, pass, work, programmer, check, list, task, solve, science, breakfast, bagel, favorite, option, week, code, student, enjoy, learning, error, matter, thinking, worth, coding, promote, computer, teacher, public, interest, ready, design, loaf, place, close, hand, wordle, bread, process, assignment, interesting, perform, start, sandwich, satisfying, satisfaction, message, great, call, meet, bake, developer, semester, time, interested, tidy, fun, open, represent, assign]"
"16","[misbelieve, is.t, couple, career, visualization, thought, year, reader, ago, tedious, focus, language, simple, program, experience, good, view, high, barrier, fine, loop, visualize, understanding, visual, create, narrow, helpful, enter, day, hardware, phase, read, ideal, work, night, understand, require, sort, article, tool, slow, cognitive, light, contents, science, binary, topic, favorite, card, compare, memory, student, idea, book, concept, overcome, teaching, eventually, misconception, thinking, long, switch, punch, remember, computer, common, load, extra, today, assembly, debugging, boot, close, early, address, selective, learn, introduce, teach, suggestion, trouble.i, clear, start, toggle, control, single, build, instruction, variable, step, location, gate, thing]"
"17","[reason, big, career, project, language, program, experience, good, hold, division, seconds, compile, beginner, fine, english, bear, day, potential, programming, laugh, case, group, spell, boggle, static, orient, work, night, understand, touch, tool, overload, cognitive, dream, improve, hardest, ides, basic, confusion, object, datum, complexity, code, pluss, student, idea, book, effort, industry, box, media, error, lot, prevent, promote, stretch, library, load, feature, hour, today, share, ability, power, class, early, mind, decision, determine, social, learn, looping, change, cool, teach, multiple, declaration, people, joke, structure, environment, powerful, exciting, variable, syntax, handling, time, thing, age, walk]"
"18","[practice, auto, prefer, guestion, screen, program, discussion, logistical, good, professional, evaluation, offer, autocorrect, number, assessment, problem, clever, pen, electronically, basically, enter, write, case, programming, knowledge, read, test, issue, work, lose, handwriting, difficult, real, ide, check, sort, feeling, easy, exam, task, person, grade, evaluate, object, love, checking, code, student, unsure, save, faith, mental, mixed, turn, error, grader, point, mention, lot, general, computer, teacher, file, paper, variety, statement, verify, share, hard, experienced, policy, execution, starter, assignment, problematic, teach, tweet, suspect, wrong, answer, wrongness, developer, time, user, thing, return, discuss]"
"19","[frustrated, convert, program, bit, number, gradually, character, problem, s.substring, action, intimidating, case, issue, method, double, work, documentation, require, system, celsius, force, care, complexity, deal, fact, secret, turn, mention, lot, computer, s.length, share, confusing, include, learn, future, thing, minimum, return, pexassume.isnotnullorempty, correct, simple, good, empty, hit, earlier, solution, beginner, zone, find, leave, create, helpful, day, generate, potential, add, static, test, workshop, sort, feed, null, true, datum, week, code, string, student, tune, point, remove, highlight, public, array, spend, harder, class, early, pexassume.istrue, custom, start, length, false, designer, specific, int, microsoft.pex.framework, 0.0, puzzle, char.parse, easier, challenge, online, initially, semester, time, avoid, base]"
"20","[project, source, inside, blog, good, number, trip, post, school, bird, weather, create, catch, day, write, touchdevelop, meter, work, lose, count, month, field, snow, http://code.org, care, code, hire, student, additional, link, http://code.org/about/jobs, recommend, lot, current, today, flap, speak, close, foot, latest, rest, storm, starter, interesting, team, clean, great, people, stay, material, time, open]"
"21","[calculation, small, chill, project, language, simple, program, earlier, post, beginner, easily, write, day, case, programming, add, calculator, blogging, level, work, conveniently, adapt, understand, format, degree, wonderful, check, sharing, expansion, eye, adopt, basic, wind, code, color, student, idea, enjoy, winter, cold, choose, speed, lot, coding, negative, teacher, interest, web, today, browser, temperature, statement, share, ability, hand, mind, btw, advantage, assignment, interesting, improvement, great, room, lead, meet, obvious, thing]"
"22","[www.cstaconference.org, prepare, big, lunch, year, trend, bring, onsite, laptop, professional, number, relate, review, price, annual, payment, fully, order, issue, night, opportunity, classroom, require, community, accept, pre-registration, science, offering, registration, breakfast, switching, chapter, conference, generously, portion, industry, worth, computer, peer, deadline, event, include, explore, reminder, learn, bigger, forward, p.s., plenary, lead, stay, breakout, future, maximum, complete, choice, open, span, register, separate, fee, networking, participant, amazing, contact, limit, donation, directly, day, development, coordinator, resource, workshop, check, relevant, expand, focused, true, topic, support, option, note, sponsor, student, session, snack, additional, interact, choose, content, network, highlight, general, teacher, today, generous, early, practical, cost, exhibitor, multiple, technology, increase, complimentary, enrollment, afternoon, form, material, online]"
"23","[career, def, year, bring, program, type, bit, branch, attempt, professional, number, quote, 1970, visual, stick, intimidating, judge, x-1, flow, identifier, work, version, easy, letter, complexity, flag, global, long, remember, lot, computer, current, flexibility, modern, power, popular, learn, change, people, single, freshman, site, powerful, loosely, complicated, thing, fun, return, small, symbol, declare, dim, project, language, integer, subroutine, blog, float, good, high, post, beginner, school, function, limit, basically, rem, day, programming, development, fnm, level, originally, collection, sort, real, basic, basics, code, string, student, idea, update, remark, error, frustrating, point, simpler, stronger, today, parameter, statement, define, early, execution, start, length, specific, int, special, environment, variable, short, easier, comment, handling, time, passing, base]"
"24","[play, small, treat, luck, project, feel, program, hope, good, number, fromcs, character, school, http://ow.ly/iilhj, reinforce, find, visualize, annual, catch, plan, manipulation, algorithm, image, large, work, printer, 6th, sort, real, easy, tool, grade, difference, love, datum, week, conference, code, string, student, link, teaching, caesar, lot, computer, teacher, file, feature, vacation, possibility, class, cipher, set, chance, grading, break, interesting, suggestion, teach, change, start, suspect, http://ow.ly/iijz7, structure, call, boring, modify, performance, collaboration, time, thing, open]"
"25","[play, small, college, calculation, couple, thought, theoretical, simulation, dice, arithmetic, tedious, focus, program, discussion, number, problem, post, experiment, biggest, major, percentage, theoretically, create, write, case, algorithm, banana, imagine, probability, work, simulated, raw, originally, winner, geek, science, math, favorite, larger, statistical, game, student, sociology, link, roll, save, video, lot, computer, outline, teacher, iteration, win, possibility, player, include, chance, determine, btw, forward, interesting, teach, tired, certainty, improvement, people, picture, strictly, logical, closer, call, diagram, expect, realm, logic, time, thing, fun, ratio, mathematical, statistics]"
"26","[explain, career, smaller, cafeteria, perception, seconds, faster, transmission, day, realize, add, nanosecond, admiral, packet, wire, delay, slow, light, toolkit, letter, reality, ground, demonstrate, favorite, heat, 11 3/4, wait, student, instantaneous, long, picosecond, remember, lot, computer, accomplish, parallel, speak, satellite, microwave, hear, change, label, abstract, food, travels, fast, time, inch, forever, thing, operation, story]"
"27","[program, vulnerable, quote, school, pick, conversation, programming, algorithm, surprise, python, level, work, ultimate, pay, capture, develop, collection, list, article, system, connector, port, http://spr.ly/60170xws, improve, science, worst, collect, week, prove, student, link, life, remember, computing, computer, library, top, spark, today, skill, sorting, operating, free, introduction, key, mini, break, learn, forward, display, interesting, start, monitor, great, people, nice, joke, manage, application, time, quotation, fun]"
"28","[magic, exception, education, software, year, subject, buy, bring, project, program, bit, presentation, amazing, tablet, problem, post, solution, school, find, useless, limit, majority, day, case, hardware, combine, neglect, add, prime, tech, discover, happen, abound, read, educational, work, doubt, sort, sharing, creative, backwards, piece, solve, reality, unused, silver, assume, device, support, annoying, full, conference, student, idea, gee, universally, fearlessness, box, hooked, turn, lot, confess, naturally, computer, teacher, :-), seldom, benign, place, camera, bullet, direction, latest, digital, question, teach, interesting, start, technology, curriculum, tout, people, great, opinion, awesome, form, material, whiz, administrative, time, thing]"
"29","[education, attend, software, simple, refresher, problem, solution, judgment, fine, loop, talk, struggle, generation, researcher, excited, workshop, work, understand, handle, easy, quality, system, month, involved, piece, person, hint, solve, higher, fact, student, mooc, concept, video, thinking, point, sleep, teacher, paper, top, spark, spend, statement, lecture, tutorial, harder, close, possibility, live, direction, include, figure, pretty, set, break, interesting, automatic, room, call, pdf, watch, interaction, online, time]"
"30","[magic, practice, education, evidence, gadget, feel, hope, trial, robotix, robot, twitter, school, review, create, talk, intuition, write, case, train, worry, researcher, work, sort, real, list, lack, task, sender, guess, science, datum, reinvent, love, week, university, link, teaching, guy, error, point, lot, promote, computer, teacher, web, define, hard, bullet, department, email, finger, include, follower, wheel, cool, suspect, people, gathering, picture, site, environment, fund, easier, step, time, thing, fun, advertise, base]"
"31","[big, education, happy, convert, hope, blog, good, http://csadvocate.org/blog/, twitter, blogg, post, ...., find, poor, block, text, http://blog.acthompson.net/2012/11/computer-science-education-blog-roll.html, write, case, jump, keynote, add, image, read, https://pencilcode.net/, active, propose, interdisciplinary, tool, forget, guess, binary, science, analyze, topic, collect, participation, week, conference, code, book, link, roll, update, papers, point, summer, lot, @lisakaczmarczyk, stretch, highlight, search, computer, stream, spreadsheet, share, blog@cacm, speak, place, event, close, graphic, hear, direction, summary, mind, include, committee, chair, interesting, teach, tweet, great, phd, picture, demographic, sigcse2015, report, comment, summarize, time, lastly, pre-symposium, complete, thing, coming, base]"
"32","[college, education, concerned, year, competition, serve, blog, good, youth, amazing, high, trip, post, school, annual, create, connection, cash, group, development, read, issue, campus, active, commitment, opportunity, sort, community, extend, finalist, winner, phone, reality, adult, support, student, young, idea, link, turn, prize, local, award, spark, leadership, national, share, win, learn, change, aged, entrepreneurship, employment, grand, people, call, aka, exciting, challenge, invite, open, age]"
"33","[blended, differentiation, est., pedagogy, learning, approach, good, lot, twitter, unstructured, join, #csk8, place, programming, conversation, latest, teach, curriculum, pair, structure, task, chat, series, online, force, discuss]"
"34","[small, scalable, big, practice, career, thought, simulation, project, language, simple, program, path, number, blogg, problem, solution, biggest, beginner, clever, continue, function, limit, create, talk, die2, die1, case, add, happen, natural, method, nail, work, check, real, sort, eye, highest, detail, larger, datum, complexity, deal, compare, code, hammer, color, student, additional, roll, scale, simpler, scalability, lot, tend, shortcut, library, routine, feature, array, extra, spend, design, statement, wonderfully, win, class, elegant, player, include, expression, set, determine, player1, learn, player2, introduce, cool, sample, great, nice, call, build, complicate, future, complicated, easier, time, thing, return, story, assign]"
"35","[explain, big, software, year, program, bit, hope, concern, ongoing, friend, context, flow, hardware, wearable, natural, issue, work, personal, easy, guess, science, detail, curricula, favorite, device, theory, larger, love, fact, range, matter, long, lot, optimistic, computer, web, attach, place, hand, innovation, reaction, question, learn, launch, involve, abstract, curriculum, nice, expect, site, partner, skeptical, publicize, thing, stuff, couple, source, tie, blogg, school, female, day, generate, dust, ideal, develop, real, girl, article, tool, autodidact, piece, failure, success, collect, support, code, student, kid, training, effort, media, teacher, interest, miracle, hard, harder, hear, highly, news, digital, initiative, social, flagship, clear, technology, online, step]"
"36","[gift, code, submit, student, sign, project, choose, program, good, teacher, public, hour, school, create, proof, class, programming, add, receive, website, funding, chance, separately, courses.it, introduce, work, teach, classroom, money, earn, time, complete, open]"
"37","[couple, @audreywatters, language, good, music, post, late, school, talk, day, write, programming, read, work, opportunity, real, list, geek, speaker, science, true, silver, guest, math, commentary, week, student, idea, weekend, link, teaching, choose, long, tend, computer, fundraising, teacher, public, hour, stream, busy, spend, bullet, teach, interesting, change, control, tweet, people, report, variable, progress]"
"38","[education, advocate, blog, customerservice@csta-hq.org, approach, influence, nominate, contribution, school, contact, broad, state, work, impact, mentoring, recognize, article, innovative, winner, nominating, science, district, registration, demonstrate, conference, submit, thinking, visionary, administrator, computer, award, teacher, feature, variety, today, leadership, dear, close, prestigious, receive, include, website, outstanding, question, nomination, application, accommodation, travel, open]"
"39","[play, encode, rotate, reuse, couple, year, feel, simple, program, blog, urge, drug, post, pick, fine, loop, find, function, write, programming, combine, app, closely, test, pass, work, list, someday, listbox, code, substitution, rot13, string, student, overcome, technique, long, remember, result, web, rot, toy, cipher, btw, assignment, rotation, satisfying, suspect, seating, picture, minute, call, build, time, randomly, chart, thing, gateway, assign]"
"40","[explain, college, play, thought, software, movie, bring, focus, overused, program, discipline, bit, approach, attempt, fit, number, relate, problem, differently, balance, pick, easily, struggle, order, zip, method, issue, large, excited, work, impact, pace, personal, classroom, handle, relevance, flexible, science, humanize, circle, favorite, coach, attitude, accessible, woman, role, retain, overcome, teaching, industry, matter, thinking, educator, worth, search, computer, file, actively, share, lecture, key, connect, receive, address, question, manager, learn, tutoring, nest, curriculum, noisy, people, great, opinion, massive, progress, fake, describe, interview, story, couple, communicate, subject, feel, project, language, minority, experience, good, dozen, assessment, view, high, post, school, mange, prior, loop, huge, implement, helpful, hunter, passion, day, realize, group, area, searcher, read, ensure, individual, level, resource, history, real, list, respect, tool, vision, core, rigorous, ethic, solve, topic, position, job, full, game, hire, passionate, critical, student, kid, attract, concept, media, expectation, misconception, general, computing, society, teacher, common, ready, responsible, today, skill, repeat, imitation, class, live, sit, unedited, social, apply, assignment, teach, interesting, war, specific, increase, pair, environment, favor, challenge, comment, time, strategy, walk, age]"
"41","[career, http://www.idtech.com/girls, select, nation, ring, program, discussion, approach, professional, trip, @coolcatteacher, road, connection, generation, wearable, grow, large, 20th, classroom, xna, scratch, reinsurance, undersea, science, multi-platform, teaching, industry, turn, seek, summer, long, lot, cross-country, computer, modern, web, map, graphic, key, creation, connect, documentary, question, cool, curriculum, suspect, team, great, printable, people, century, site, aka, series, future, ash, exciting, travel, interview, country, couple, attend, experience, compute, post, late, continue, find, scholarship, create, international, cable, passion, tech, image, discover, individual, collection, check, film, girl, adventure, background, topic, job, replacement, http://code.org, send, internet, game, week, code, student, young, kid, link, video, underrepresented, candidate, class, possibility, fulfil, early, figure, green, wide, center, teach, control, technology, command, phoenix, money, application, 21st, abacus, interested, rise, stem]"
"42","[small, software, webgl, cad, contribute, project, language, program, video, representation, space, keystroke, path, computer, raise, create, logo, connection, model, finish, attach, copy, https://www.kickstarter.com/projects/1975355456/madeup-a-programming-language-for-3-d-models, physical, generate, render, graphic, programming, early, development, canvas, amount, learn, work, printer, interesting, classroom, rendering, real, printing, call, fund, science, exciting, time, thing, walk, base]"
"43","[explain, reason, practice, visualization, year, usage, happy, project, program, discussion, experience, bit, good, slower, cover, identical, red, number, blogg, shorten, solution, post, loop, easily, finish, talk, state, helpful, write, day, evenly, add, image, period, comparison, method, divisible, edit, work, occur, programmer, tomorrow, classroom, check, sort, article, listbox, demonstrate, full, love, code, student, concept, exercise, choose, turn, remove, lot, grasp, file, listsbox, today, aspect, statement, lecture, set, green, question, decision, determine, learn, change, display, interesting, teach, implementation, multiple, fizz, great, compound, people, room, structure, command, print, performance, blue, instruction, complicated, pleased, short, semester, time, thing, fun, assign]"
"44","[play, big, project, tedious, decide, simple, convert, program, discussion, blog, good, hold, number, faster, create, talk, implement, catch, day, write, conversation, programming, case, textbook, method, issue, work, occur, kind, count, tree, sort, easiest, letter, binary, crazy, internet, hash, conference, access, code, string, student, idea, sequential, link, random, search, teacher, intentionally, interest, array, morse, lecture, place, hard, harder, class, ascii, conversion, website, reaction, chance, assignment, forward, start, ..., nice, weird, site, fast, performance, build, complicated, time, operation, thing]"
"45","[small, big, parent, couple, backup, year, northeastern, language, decide, bit, blog, laptop, good, professional, spring, robot, tale, late, post, school, friend, talk, block, model, api, totally, net, write, day, generate, programming, terrible, happen, development, work, adapt, lesson, 31st, http://worldbackupday.com/pledge, excatly, sort, list, version, drone, lack, @sphero, planning, measure, snow, https://www.kickstarter.com/projects/1975355456/madeup-a-programming-language-for-3-d-model, difference, love, wait, week, south, student, idea, link, lot, generative, current, file, top, spend, sad, backyard, speak, event, foot, move, art, set, break, learn, advantage, forward, observation, interesting, change, start, great, people, printable, printing, newer, environment, material, build, progress, pledge, worksheet, inch, thing, stuff, base]"
"46","[stupid, education, language, discussion, hope, good, space, character, problem, unit4, pick, leave, nit, create, easily, html, tag, enter, helpful, day, brand, potential, write, case, worry, spell, image, horribly, scr, markup, level, work, fairly, frustration, understand, opposite, handle, sort, easy, explicit, unit, tempt, qualifier, spot, solve, topic, detail, circle, favorite, embarrass, deep, deal, week, fact, code, locate, student, idea, concept, automatically, careful, enjoy, expectation, error, matter, long, life, remind, computer, file, common, web, trouble, hard, class, early, mistake, pretty, set, question, src, learn, introduce, grit, teach, clear, specification, people, wrong, short, attention, avoid, thing]"
"47","[play, software, project, simple, program, lab, concern, output, feedback, blogg, major, biggest, easily, huge, html, implement, tag, generate, programming, algorithm, read, work, testing, understand, version, benefit, input, professor, system, grade, deal, game, fact, code, student, idea, university, session, automatically, save, destination, educator, worth, lot, confess, computer, teacher, routine, web, browser, writing, extra, rote, close, malloc, pain, pretty, gaming, process, grading, cs50x, learn, forward, teach, match, automatic, great, wrong, straight, boring, modify, automate, online, time, tempting, sigcse2018, open, stuff, story, base]"
"48","[stumble, play, parent, big, career, practice, project, feel, language, decide, program, good, feedback, problem, differently, beginner, school, continuous, raise, write, generate, knowledge, add, read, curious, work, pay, sort, task, grade, bunch, job, internet, object, deal, code, week, fact, student, ahead, save, industry, learning, privilege, turn, papers, worth, lot, current, teacher, library, routine, feature, fall, vacation, class, hand, explore, learn, teach, interesting, reading, involve, suspect, increase, great, performance, stagnate, money, complicated, overly, time, fresh, thing, fun]"
"49","[select, software, originality, project, acm, artifact, compute, high, school, graduate, relevancy, diverse, judge, generation, read, researcher, illustrate, pool, electrical, classroom, develop, establish, senior, traditional, http://www.csteachers.org/cutlerbell, winner, operate, system, field, ingenuity, science, complexity, submit, student, scientist, promote, computer, https://www.acm.org/media-center/2018/march/cutler-bell-prize-2017, award, pursue, modern, panel, win, apply, cool, empower, technology, designer, engineer, http://awards.acm.org/cutler-bell/, emeritus, environment, application, engage, recipient, challenge, developer, visit, base]"
"50","[extent, cluster, year, project, acm, competition, program, blog, bet, number, high, school, enable, friend, case, add, motivated, resource, outsized, exceptional, develop, history, winner, guess, science, support, independent, student, motivation, choose, expectation, lot, flexibility, computer, award, public, encourage, extra, regular, rest, mind, set, awardee, question, familiar, magnet, produce, environment, meet, culture, earn, typical, thing, comprehensive, open]"
"51","[prepare, parent, career, argument, education, depend, year, advanced, project, program, good, tie, fan, high, post, school, leave, limit, controversial, helpful, brand, conversation, test, work, weight, capstone, sort, constrain, easy, accept, exam, task, evil, carry, party, love, larger, student, learning, air, title, long, gain, lot, code.org, administrator, freedom, top, assertion, term, class, hand, figure, starter, explore, interesting, start, curriculum, people, ultimately, lead, apcs, environment, sale, performance, answer, discovery, ended, time, interested, suck, thing, board, open, base]"
"52","[education, year, bring, bit, supply, offer, fit, path, problem, easily, prep, plan, jump, happen, grow, natural, excited, byte, work, require, classroom, population, exist, system, slow, adopt, consideration, math, wait, conference, roll, mailing, summer, lot, promote, feature, retire, web, mix, outcome, website, break, learn, ai4k12.org, checklist, curriculum, involve, great, people, depth, meet, machine, atom, thing, board, discuss, small, dig, administration, project, good, spring, cloud, major, school, continue, bird, create, huge, net, potential, surprise, sort, develop, real, list, tool, task, topic, internet, full, intere3sting, hire, student, idea, attract, learning, training, k12, point, computing, teacher, interest, motivate, ethnical, hard, interesting, teach, enrollment, momentum, service, short, time, interested, subset]"
"53","[career, copilot, education, thought, year, bring, discussion, entire, concern, climb, seconds, problem, oversight, write, guide, reduce, happen, pass, work, programmer, understand, intelligence, leaderboard, guess, science, suit, completely, hive, study, long, remember, lot, computer, assembly, verify, free, close, chatgpt, surprised, editor, invade, question, efficient, learn, people, cheat, answer, instruction, discuss, language, good, faster, prefect, solution, optimize, fine, function, talk, day, generate, programming, conversation, read, visibility, level, finally, real, sort, history, tool, article, adventure, longer, higher, boon, code, student, purpose, detect, learning, point, tune, computing, teacher, today, compiler, painful, harder, human, hear, live, assignment, teach, center, interesting, start, satisfying, artificial, apcs, litigation, response, easier, challenge, time]"
"54","[reason, education, software, year, innocent, discussion, bit, concern, properly, problem, assumption, understanding, write, dependent, microsoft-responsible-ai-standard-v2-general-requirements-3.pdf, grow, issue, younger, work, understand, responsibly, accurately, prognathism, recognize, intelligence, apparent, exist, system, science, math, drive, wait, woman, document, industry, lot, result, computer, search, diversity, identity, ability, address, mini, question, cool, ethical, people, call, face, framework, answer, machine, future, concerned, conceptually, ai3k12, importantly, recognition, project, language, blog, faster, high, post, school, find, bias, basically, create, discrimination, talk, day, group, area, development, resource, develop, worse, tool, article, lack, core, ethic, internet, color, configuration, student, careful, rule, privacy, learning, k12, platform, society, car, design, today, company, definition, class, facial, unconscious, pretty, racism, custom, teach, interesting, start, clear, false, reading, configure, special, artificial, environment, application, build, ops5, bake, developer, base]"
